detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts
FAST, FREAK, MAT_FLANN, SEL_NN, 39.9213, 4904, 191.7, 8670.51, 4464
FAST, FREAK, MAT_FLANN, SEL_KNN, 39.1044, 4904, 188.219, 8216.46, 2156
FAST, AKAZE, MAT_BF, SEL_NN, 39.6125, 4904, 0, 0, 0
FAST, AKAZE, MAT_BF, SEL_KNN, 39.4009, 4904, 0, 0, 0
FAST, AKAZE, MAT_FLANN, SEL_NN, 40.3998, 4904, 0, 0, 0
FAST, AKAZE, MAT_FLANN, SEL_KNN, 39.7164, 4904, 0, 0, 0
FAST, SIFT, MAT_BF, SEL_NN, 40.0014, 4904, 754.366, 5987.4, 3357
FAST, SIFT, MAT_BF, SEL_KNN, 39.558, 4904, 740.879, 2987.78, 3273
FAST, SIFT, MAT_FLANN, SEL_NN, 39.3191, 4904, 738.249, 563.167, 4911
FAST, SIFT, MAT_FLANN, SEL_KNN, 39.3442, 4904, 739.993, 598.397, 3345
BRISK, BRISK, MAT_BF, SEL_NN, 115.339, 2706, 78.0211, 146.148, 1558
BRISK, BRISK, MAT_BF, SEL_KNN, 115.852, 2706, 78.7087, 69.7997, 1426
BRISK, BRISK, MAT_FLANN, SEL_NN, 114.896, 2706, 78.6215, 2308.99, 2716
BRISK, BRISK, MAT_FLANN, SEL_KNN, 116.483, 2706, 79.4687, 2321.55, 1426
BRISK, BRIEF, MAT_BF, SEL_NN, 120.505, 2706, 88.0788, 88.871, 1590
BRISK, BRIEF, MAT_BF, SEL_KNN, 116.084, 2706, 88.7405, 46.0053, 1671
BRISK, BRIEF, MAT_FLANN, SEL_NN, 116.854, 2706, 89.0781, 1625.51, 2687
BRISK, BRIEF, MAT_FLANN, SEL_KNN, 114.659, 2706, 89.7281, 1630.66, 1671
BRISK, ORB, MAT_BF, SEL_NN, 115.624, 2706, 99.0743, 89.5611, 1539
BRISK, ORB, MAT_BF, SEL_KNN, 114.809, 2706, 99.7926, 41.7155, 1393
BRISK, ORB, MAT_FLANN, SEL_NN, 115.54, 2706, 99.4362, 1081.77, 2674
BRISK, ORB, MAT_FLANN, SEL_KNN, 117.15, 2706, 99.097, 1110.77, 1393
BRISK, FREAK, MAT_BF, SEL_NN, 116.063, 2706, 130.225, 96.0375, 1391
BRISK, FREAK, MAT_BF, SEL_KNN, 119.368, 2706, 131.057, 44.5711, 1323
BRISK, FREAK, MAT_FLANN, SEL_NN, 119.392, 2706, 132.477, 2047.06, 2302
BRISK, FREAK, MAT_FLANN, SEL_KNN, 119.036, 2706, 131.991, 1976.95, 1323
BRISK, AKAZE, MAT_BF, SEL_NN, 119.617, 2706, 0, 0, 0
BRISK, AKAZE, MAT_BF, SEL_KNN, 118.014, 2706, 0, 0, 0
BRISK, AKAZE, MAT_FLANN, SEL_NN, 120.225, 2706, 0, 0, 0
BRISK, AKAZE, MAT_FLANN, SEL_KNN, 119.284, 2706, 0, 0, 0
BRISK, SIFT, MAT_BF, SEL_NN, 115.826, 2706, 913.298, 1858.03, 1581
BRISK, SIFT, MAT_BF, SEL_KNN, 115.856, 2706, 910.079, 946.34, 1637
BRISK, SIFT, MAT_FLANN, SEL_NN, 114.952, 2706, 909.937, 316.705, 2716
BRISK, SIFT, MAT_FLANN, SEL_KNN, 114.576, 2706, 912.139, 329.189, 1693
ORB, BRISK, MAT_BF, SEL_NN, 141.363, 2000, 52.7468, 45.2776, 1171
ORB, BRISK, MAT_BF, SEL_KNN, 128.626, 2000, 52.2385, 20.7843, 1228
ORB, BRISK, MAT_FLANN, SEL_NN, 128.987, 2000, 53.0369, 690.701, 1581
ORB, BRISK, MAT_FLANN, SEL_KNN, 126.959, 2000, 53.0792, 666.55, 1228
ORB, BRIEF, MAT_BF, SEL_NN, 134.099, 2000, 68.9626, 70.9353, 956
ORB, BRIEF, MAT_BF, SEL_KNN, 131.413, 2000, 68.656, 33.7623, 912
ORB, BRIEF, MAT_FLANN, SEL_NN, 126.267, 2000, 65.523, 1004.1, 2000
ORB, BRIEF, MAT_FLANN, SEL_KNN, 125.74, 2000, 67.1069, 1005.37, 912
ORB, ORB, MAT_BF, SEL_NN, 129.075, 2000, 104.469, 71.9234, 1369
ORB, ORB, MAT_BF, SEL_KNN, 128.387, 2000, 103.876, 44.9519, 1289
ORB, ORB, MAT_FLANN, SEL_NN, 127.427, 2000, 102.068, 619.415, 2000
ORB, ORB, MAT_FLANN, SEL_KNN, 126.539, 2000, 102.571, 624.056, 1290
ORB, FREAK, MAT_BF, SEL_NN, 130.033, 2000, 89.6327, 10.7991, 448
ORB, FREAK, MAT_BF, SEL_KNN, 130.073, 2000, 90.1174, 6.39304, 477
ORB, FREAK, MAT_FLANN, SEL_NN, 128.912, 2000, 90.2631, 160.122, 628
ORB, FREAK, MAT_FLANN, SEL_KNN, 130.017, 2000, 89.1457, 161.753, 477
ORB, AKAZE, MAT_BF, SEL_NN, 125.793, 2000, 0, 0, 0
ORB, AKAZE, MAT_BF, SEL_KNN, 126.496, 2000, 0, 0, 0
ORB, AKAZE, MAT_FLANN, SEL_NN, 127.605, 2000, 0, 0, 0
ORB, AKAZE, MAT_FLANN, SEL_KNN, 125.973, 2000, 0, 0, 0
ORB, SIFT, MAT_BF, SEL_NN, 125.942, 2000, 1306.31, 1033.69, 1268
ORB, SIFT, MAT_BF, SEL_KNN, 126.403, 2000, 1318.2, 544.871, 1382
ORB, SIFT, MAT_FLANN, SEL_NN, 129.276, 2000, 1330.84, 222.498, 2000
ORB, SIFT, MAT_FLANN, SEL_KNN, 127.677, 2000, 1307.5, 232.566, 1394
AKAZE, BRISK, MAT_BF, SEL_NN, 533.915, 1342, 38.2981, 33.0823, 985
AKAZE, BRISK, MAT_BF, SEL_KNN, 522.84, 1342, 37.6834, 15.8988, 915
AKAZE, BRISK, MAT_FLANN, SEL_NN, 525.648, 1342, 37.3679, 802.075, 1344
AKAZE, BRISK, MAT_FLANN, SEL_KNN, 528.714, 1342, 38.0884, 808.693, 915
AKAZE, BRIEF, MAT_BF, SEL_NN, 544.234, 1342, 45.9169, 55.1235, 1002
AKAZE, BRIEF, MAT_BF, SEL_KNN, 543.156, 1342, 45.4834, 20.7666, 985
AKAZE, BRIEF, MAT_FLANN, SEL_NN, 528.989, 1342, 44.4986, 510.564, 1344
AKAZE, BRIEF, MAT_FLANN, SEL_KNN, 534.996, 1342, 45.3245, 506.014, 985
AKAZE, ORB, MAT_BF, SEL_NN, 532.612, 1342, 61.9908, 44.0962, 944
AKAZE, ORB, MAT_BF, SEL_KNN, 542.971, 1342, 63.2824, 23.7657, 886
AKAZE, ORB, MAT_FLANN, SEL_NN, 532.492, 1342, 63.5804, 347.694, 1341
AKAZE, ORB, MAT_FLANN, SEL_KNN, 529.496, 1342, 62.0855, 341.504, 886
AKAZE, FREAK, MAT_BF, SEL_NN, 536.991, 1342, 102.653, 28.9299, 946
AKAZE, FREAK, MAT_BF, SEL_KNN, 530.491, 1342, 102.043, 14.5601, 870
AKAZE, FREAK, MAT_FLANN, SEL_NN, 529.353, 1342, 103.225, 1360.86, 1344
AKAZE, FREAK, MAT_FLANN, SEL_KNN, 528.741, 1342, 101.841, 1362.03, 870
AKAZE, AKAZE, MAT_BF, SEL_NN, 527.694, 1342, 520.532, 34.0865, 1047
AKAZE, AKAZE, MAT_BF, SEL_KNN, 529.105, 1342, 522.471, 17.1824, 1023
AKAZE, AKAZE, MAT_FLANN, SEL_NN, 524.723, 1342, 523.755, 554.567, 1344
AKAZE, AKAZE, MAT_FLANN, SEL_KNN, 525.544, 1342, 520.405, 558.736, 1023
AKAZE, SIFT, MAT_BF, SEL_NN, 528.796, 1342, 597.904, 492.797, 1076
AKAZE, SIFT, MAT_BF, SEL_KNN, 531.536, 1342, 592.745, 263.378, 1049
AKAZE, SIFT, MAT_FLANN, SEL_NN, 533.277, 1342, 591.994, 145.41, 1344
AKAZE, SIFT, MAT_FLANN, SEL_KNN, 534.927, 1342, 596.27, 155.934, 1055
SIFT, BRISK, MAT_BF, SEL_NN, 2091.58, 1380, 37.2984, 33.1752, 671
SIFT, BRISK, MAT_BF, SEL_KNN, 2050.96, 1380, 36.7253, 16.4052, 551
SIFT, BRISK, MAT_FLANN, SEL_NN, 2045.14, 1380, 36.8024, 644.996, 1320
SIFT, BRISK, MAT_FLANN, SEL_KNN, 2052.07, 1380, 36.7373, 653.538, 551
SIFT, BRIEF, MAT_BF, SEL_NN, 2058.73, 1380, 40.2136, 43.9449, 714
SIFT, BRIEF, MAT_BF, SEL_KNN, 2081.95, 1380, 39.2859, 13.4605, 658
SIFT, BRIEF, MAT_FLANN, SEL_NN, 2076.63, 1380, 39.8708, 394.44, 1260
SIFT, BRIEF, MAT_FLANN, SEL_KNN, 2085.28, 1380, 40.1983, 404.6, 658
SIFT, FREAK, MAT_BF, SEL_NN, 2089.89, 1380, 101.826, 25.276, 639
SIFT, FREAK, MAT_BF, SEL_KNN, 2091.75, 1380, 102.486, 13.4367, 526
SIFT, FREAK, MAT_FLANN, SEL_NN, 2093.36, 1380, 103.193, 852.499, 1256
SIFT, FREAK, MAT_FLANN, SEL_KNN, 2090.63, 1380, 102.574, 874.673, 526
SIFT, AKAZE, MAT_BF, SEL_NN, 2087.73, 1380, 0, 0, 0
SIFT, AKAZE, MAT_BF, SEL_KNN, 2075.96, 1380, 0, 0, 0
SIFT, AKAZE, MAT_FLANN, SEL_NN, 2048.03, 1380, 0, 0, 0
SIFT, AKAZE, MAT_FLANN, SEL_KNN, 2045.42, 1380, 0, 0, 0
SIFT, SIFT, MAT_BF, SEL_NN, 2051.54, 1380, 2086.49, 515.555, 834
SIFT, SIFT, MAT_BF, SEL_KNN, 2057.86, 1380, 2065.49, 271.451, 773
SIFT, SIFT, MAT_FLANN, SEL_NN, 2046.61, 1380, 2065.3, 152.507, 1381
SIFT, SIFT, MAT_FLANN, SEL_KNN, 2046.88, 1380, 2065.34, 159.268, 782
