detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts,total_avg,pts_sec,match_loss
AKAZE, BRISK, MAT_BF, SEL_KNN,522.84,1342,37.6834,15.8988,915,576.42,1587,68.2%
FAST, FREAK, MAT_BF, SEL_NN,40.3176,4904,188.69,351.467,2517,580.47,4336,51.3%
HARRIS, AKAZE, MAT_BF, SEL_KNN,75.4243,180,505.428,0.5748,115,581.43,198,63.9%
HARRIS, AKAZE, MAT_BF, SEL_NN,77.4923,180,508.893,0.940852,109,587.33,186,60.6%
SHITOMASI, ORB, MAT_FLANN, SEL_KNN,75.7156,1339,31.8506,494.214,891,601.78,1481,66.5%
SHITOMASI, ORB, MAT_FLANN, SEL_NN,75.7295,1339,32.3055,494.924,1219,602.96,2022,91.0%
AKAZE, BRISK, MAT_BF, SEL_NN,533.915,1342,38.2981,33.0823,985,605.30,1627,73.4%
AKAZE, BRIEF, MAT_BF, SEL_KNN,543.156,1342,45.4834,20.7666,985,609.41,1616,73.4%
HARRIS, AKAZE, MAT_FLANN, SEL_NN,77.0869,180,519.932,19.9439,161,616.96,261,89.4%
HARRIS, AKAZE, MAT_FLANN, SEL_KNN,79.524,180,517.872,20.5523,116,617.95,188,64.4%
AKAZE, ORB, MAT_BF, SEL_KNN,542.971,1342,63.2824,23.7657,886,630.02,1406,66.0%
AKAZE, ORB, MAT_BF, SEL_NN,532.612,1342,61.9908,44.0962,944,638.70,1478,70.3%
AKAZE, BRIEF, MAT_BF, SEL_NN,544.234,1342,45.9169,55.1235,1002,645.27,1553,74.7%
AKAZE, FREAK, MAT_BF, SEL_KNN,530.491,1342,102.043,14.5601,870,647.09,1344,64.8%
SHITOMASI, SIFT, MAT_FLANN, SEL_NN,72.0445,1339,433.803,142.569,1342,648.42,2070,100.2%
SHITOMASI, SIFT, MAT_FLANN, SEL_KNN,72.5531,1339,433.798,153.077,1049,659.43,1591,78.3%
AKAZE, FREAK, MAT_BF, SEL_NN,536.991,1342,102.653,28.9299,946,668.57,1415,70.5%
SHITOMASI, SIFT, MAT_BF, SEL_KNN,71.7202,1339,434.113,258.183,1046,764.02,1369,78.1%
SHITOMASI, BRISK, MAT_FLANN, SEL_KNN,75.8815,1339,36.481,682.363,718,794.73,903,53.6%
SHITOMASI, BRISK, MAT_FLANN, SEL_NN,77.1337,1339,36.4849,693.459,1290,807.08,1598,96.3%
ORB, BRISK, MAT_FLANN, SEL_KNN,126.959,2000,53.0792,666.55,1228,846.59,1451,61.4%
ORB, ORB, MAT_FLANN, SEL_NN,127.427,2000,102.068,619.415,2000,848.91,2356,100.0%
ORB, ORB, MAT_FLANN, SEL_KNN,126.539,2000,102.571,624.056,1290,853.17,1512,64.5%
ORB, BRISK, MAT_FLANN, SEL_NN,128.987,2000,53.0369,690.701,1581,872.72,1812,79.1%
AKAZE, ORB, MAT_FLANN, SEL_KNN,529.496,1342,62.0855,341.504,886,933.09,950,66.0%
AKAZE, ORB, MAT_FLANN, SEL_NN,532.492,1342,63.5804,347.694,1341,943.77,1421,99.9%
