detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts,avg_total,pts_sec
SHITOMASI, ORB, MAT_BF, SEL_NN,79.0716,117,21.0781,0.809138,100,100.96,991
HARRIS, ORB, MAT_FLANN, SEL_NN,78.6163,25,20.2494,2.70936,23,101.58,226
HARRIS, ORB, MAT_BF, SEL_KNN,82.1692,25,19.4716,0.38313,17,102.02,167
HARRIS, ORB, MAT_FLANN, SEL_KNN,79.1485,25,20.4457,2.73938,17,102.33,166
SHITOMASI, ORB, MAT_FLANN, SEL_KNN,78.7975,117,21.0063,13.9247,100,113.73,879
SHITOMASI, ORB, MAT_FLANN, SEL_NN,80.2713,117,20.7953,13.4131,118,114.48,1031
BRISK, BRISK, MAT_BF, SEL_NN,114.954,277,8.39577,1.82263,177,125.17,1414
BRISK, BRIEF, MAT_BF, SEL_KNN,115.699,277,8.88435,1.02649,189,125.61,1505
FAST, BRIEF, MAT_FLANN, SEL_NN,40.7138,408,13.9475,71.0731,410,125.73,3261
FAST, FREAK, MAT_BF, SEL_NN,40.4265,408,82.0999,3.7711,265,126.30,2098
FAST, FREAK, MAT_BF, SEL_KNN,42.9118,408,81.5254,2.05994,248,126.50,1961
BRISK, BRIEF, MAT_BF, SEL_NN,115.935,277,8.95136,1.74056,172,126.63,1358
FAST, BRIEF, MAT_FLANN, SEL_KNN,40.096,408,13.4419,74.1894,314,127.73,2458
FAST, ORB, MAT_FLANN, SEL_NN,40.1133,408,23.5955,64.3646,410,128.07,3201
BRISK, BRISK, MAT_BF, SEL_KNN,118.692,277,8.52074,1.22731,174,128.44,1355
FAST, ORB, MAT_FLANN, SEL_KNN,40.9525,408,23.3918,68.1295,306,132.47,2310
ORB, BRISK, MAT_BF, SEL_KNN,124.11,328,9.25613,1.26779,226,134.63,1679
ORB, BRISK, MAT_BF, SEL_NN,125.27,328,9.29144,2.0693,219,136.63,1603
ORB, BRIEF, MAT_BF, SEL_KNN,125.148,328,10.312,1.37422,156,136.83,1140
FAST, BRISK, MAT_FLANN, SEL_KNN,39.0696,408,11.6735,87.4706,242,138.21,1751
ORB, BRIEF, MAT_BF, SEL_NN,126.431,328,10.9926,2.83328,173,140.26,1233
FAST, BRISK, MAT_FLANN, SEL_NN,40.4104,408,11.6709,90.6935,410,142.77,2872
HARRIS, FREAK, MAT_BF, SEL_KNN,75.443,25,73.5101,0.251049,16,149.20,107
HARRIS, FREAK, MAT_BF, SEL_NN,75.6689,25,72.893,0.760226,16,149.32,107
SHITOMASI, FREAK, MAT_BF, SEL_NN,74.8906,117,74.4618,0.631079,91,149.98,607
HARRIS, FREAK, MAT_FLANN, SEL_KNN,75.1612,25,71.7427,3.33398,16,150.24,106
SHITOMASI, FREAK, MAT_BF, SEL_KNN,75.7967,117,74.1977,0.410219,85,150.40,565
HARRIS, FREAK, MAT_FLANN, SEL_NN,76.6343,25,72.8185,3.03982,23,152.49,151
BRISK, BRIEF, MAT_FLANN, SEL_NN,115.688,277,9.05227,41.0349,278,165.78,1677
BRISK, BRISK, MAT_FLANN, SEL_NN,115.416,277,8.46278,42.9202,278,166.80,1667
BRISK, BRIEF, MAT_FLANN, SEL_KNN,115.806,277,8.93069,42.4468,189,167.18,1130
SHITOMASI, FREAK, MAT_FLANN, SEL_NN,74.2871,117,75.1833,17.8307,118,167.30,705
BRISK, BRISK, MAT_FLANN, SEL_KNN,115.873,277,8.28955,43.891,174,168.05,1035
SHITOMASI, FREAK, MAT_FLANN, SEL_KNN,74.6203,117,76.3418,18.8759,85,169.84,500
ORB, BRISK, MAT_FLANN, SEL_NN,126.12,328,9.28389,45.5345,303,180.94,1675
ORB, BRISK, MAT_FLANN, SEL_KNN,127.659,328,9.19348,45.3177,226,182.17,1241
BRISK, ORB, MAT_BF, SEL_NN,115.352,277,73.4156,1.3754,176,190.14,926
BRISK, ORB, MAT_BF, SEL_KNN,116.598,277,73.2759,0.96544,167,190.84,875
ORB, BRIEF, MAT_FLANN, SEL_NN,128.419,328,10.4851,52.7389,325,191.64,1696
ORB, BRIEF, MAT_FLANN, SEL_KNN,131.3,328,10.4754,53.2476,156,195.02,800
BRISK, FREAK, MAT_BF, SEL_KNN,118.759,277,76.4249,0.816227,169,196.00,862
BRISK, FREAK, MAT_BF, SEL_NN,117.814,277,77.803,1.36209,166,196.98,843
ORB, FREAK, MAT_BF, SEL_KNN,127.895,328,74.3626,0.834227,128,203.09,630
ORB, FREAK, MAT_BF, SEL_NN,128.509,328,74.3305,1.67255,124,204.51,606
ORB, ORB, MAT_BF, SEL_KNN,129.485,328,82.8556,1.38494,224,213.73,1048
ORB, ORB, MAT_BF, SEL_NN,133.171,328,82.4468,3.82668,229,219.44,1044
BRISK, ORB, MAT_FLANN, SEL_KNN,117.879,277,73.7629,35.7955,168,227.44,739
BRISK, ORB, MAT_FLANN, SEL_NN,119.369,277,74.1418,34.2147,278,227.73,1221
FAST, FREAK, MAT_FLANN, SEL_KNN,39.9654,408,81.9149,106.756,248,228.64,1085
ORB, FREAK, MAT_FLANN, SEL_KNN,128.279,328,74.7428,26.1209,128,229.14,559
ORB, FREAK, MAT_FLANN, SEL_NN,129.188,328,74.6868,25.9472,176,229.82,766
FAST, FREAK, MAT_FLANN, SEL_NN,39.9627,408,80.9208,109.163,410,230.05,1782
BRISK, FREAK, MAT_FLANN, SEL_KNN,115.505,277,75.5999,46.0141,169,237.12,713
BRISK, FREAK, MAT_FLANN, SEL_NN,117.66,277,75.9233,45.0303,258,238.61,1081
ORB, ORB, MAT_FLANN, SEL_NN,126.991,328,81.4156,43.5658,325,251.97,1290
ORB, ORB, MAT_FLANN, SEL_KNN,126.479,328,82.1849,43.4822,224,252.15,888
